<presentDate>;<deposit1>;<deposit2>;<action>;<reward>;<closeValue>;<LSTM_1[1]>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
01.03.2010 0:00;1;459,442;buy;0;40,558;1;0.660000;0.619;0.303999;0.259999;0.5
02.03.2010 0:00;2;418,851;buy;-1646,629281;40,591;0;0.251999;0.146000;0.416000;0.533000;0.5
03.03.2010 0:00;1;459,622;sell;1661,274441;40,771;0;0.536000;0.819000;0.710000;0.68;0.5
04.03.2010 0:00;2;419,082;buy;-1642,4916;40,54;1;0.688000;0.384;0.420999;0.268999;0.5
05.03.2010 0:00;1;459,611;sell;1641,599841;40,529;0;0.265000;0.269999;0.416999;0.489000;0.5
06.03.2010 0:00;1;459,611;dateDoesn'tExist;0;40,529;0;0.265000;0.269999;0.416999;0.489000;0.5
07.03.2010 0:00;1;459,611;dateDoesn'tExist;0;40,529;0;0.265000;0.269999;0.416999;0.489000;0.5
08.03.2010 0:00;0;500,157;sell;1642,978116;40,546;0;0.497;0.591999;0.616;0.516999;0.5
09.03.2010 0:00;0;500,157;sell;0;40,431;1;0.507999;0.391000;0.310000;0.384999;0.5
10.03.2010 0:00;0;500,157;sell;0;40,343;1;0.391000;0.397999;0.420000;0.412000;0.5
11.03.2010 0:00;0;500,157;sell;0;40,28;0;0.409999;0.398000;0.423000;0.436999;0.5
12.03.2010 0:00;0;500,157;sell;0;40,279;0;0.439;0.533000;0.540999;0.499000;0.5
13.03.2010 0:00;0;500,157;dateDoesn'tExist;0;40,279;0;0.439;0.533000;0.540999;0.499000;0.5
14.03.2010 0:00;0;500,157;dateDoesn'tExist;0;40,279;0;0.439;0.533000;0.540999;0.499000;0.5
15.03.2010 0:00;0;500,157;sell;0;40,307;0;0.451000;0.500999;0.493000;0.527999;0.5
16.03.2010 0:00;0;500,157;nothing;0;40,044;1;0.567;0.511000;0.347999;0.236999;0.5
17.03.2010 0:00;0;500,157;sell;0;39,846;1;0.244;0.169999;0.280000;0.302;0.5
18.03.2010 0:00;0;500,157;sell;0;39,696;1;0.314999;0.329000;0.268999;0.350000;0.5
19.03.2010 0:00;0;500,157;sell;0;39,696;0;0.335000;0.292999;0.576999;0.5;0.5
20.03.2010 0:00;0;500,157;dateDoesn'tExist;0;39,696;0;0.335000;0.292999;0.576999;0.5;0.5
21.03.2010 0:00;0;500,157;dateDoesn'tExist;0;39,696;0;0.335000;0.292999;0.576999;0.5;0.5
22.03.2010 0:00;0;500,157;sell;0;40,02;0;0.499000;0.925000;0.420999;0.824000;0.5
23.03.2010 0:00;0;500,157;sell;0;39,858;1;0.826999;0.414999;0.646000;0.337999;0.5
24.03.2010 0:00;0;500,157;sell;0;39,519;1;0.332999;0.338999;0.274000;0.161000;0.5
25.03.2010 0:00;0;500,157;sell;0;39,29;1;0.171000;0.210000;0.258000;0.271000;0.5
26.03.2010 0:00;0;500,157;sell;0;39,68;0;0.273999;0.670000;0.504999;0.890000;0.5
27.03.2010 0:00;0;500,157;dateDoesn'tExist;0;39,68;0;0.273999;0.670000;0.504999;0.890000;0.5
28.03.2010 0:00;0;500,157;dateDoesn'tExist;0;39,68;0;0.273999;0.670000;0.504999;0.890000;0.5
29.03.2010 0:00;0;500,157;sell;0;39,722;0;1;0.710000;0.901000;0.542000;0.5
30.03.2010 0:00;0;500,157;exit;39,722;;;;;;;
